,date,transactionId,sessionsToTransaction,daysToTransaction,transactions,transactionRevenue
302,06-04-2017,1993831,36,29,1,7000
303,06-04-2017,1993871,36,29,1,2600
304,06-04-2017,1993911,3,2,1,1600
305,06-04-2017,1993971,131,32,1,25000
306,06-04-2017,1994091,131,32,1,28000
307,06-04-2017,1994101,113,34,1,29000
308,06-04-2017,1994141,2,5,1,11000
309,06-04-2017,1994161,1,0,1,17750
310,06-04-2017,1994181,2,0,1,12480
311,06-04-2017,1994371,9,44,1,20000
312,06-04-2017,1994381,53,34,1,9700
348,07-04-2017,1994421,4,3,1,1075
313,06-04-2017,1994441,53,34,1,8000
314,06-04-2017,1994531,53,34,1,10500
315,06-04-2017,1994581,12,6,1,7000
316,06-04-2017,1994601,34,41,1,6800
317,06-04-2017,1994621,2,0,1,26500
318,06-04-2017,1994641,45,17,1,1100
319,06-04-2017,1994671,10,2,1,6600
320,06-04-2017,1994681,2,1,1,10500
321,06-04-2017,1994721,26,43,1,4300
322,06-04-2017,1994761,15,48,1,13800
323,06-04-2017,1994781,13,46,1,3300
324,06-04-2017,1994811,13,46,1,3000
325,06-04-2017,1994851,13,46,1,11000
326,06-04-2017,1995401,114,34,1,8500
327,06-04-2017,1995421,98,39,1,1125
328,06-04-2017,1995451,98,39,1,1950
329,06-04-2017,1995621,18,68,1,5600
330,06-04-2017,1995691,18,68,1,3800
331,06-04-2017,1995721,18,68,1,13000
349,07-04-2017,1995891,1,0,1,31500
350,07-04-2017,1996001,2,0,1,1200
351,07-04-2017,1996071,1,0,1,1470
352,07-04-2017,1996131,12,41,1,12600
353,07-04-2017,1996171,3,0,1,1455
354,07-04-2017,1996171,4,0,1,1455
355,07-04-2017,1996171,5,0,1,1455
356,07-04-2017,1996271,52,22,1,18000
357,07-04-2017,1996331,1,0,1,7313
358,07-04-2017,1996391,32,121,1,1560
359,07-04-2017,1996401,100,40,1,735
360,07-04-2017,1996421,100,40,1,825
361,07-04-2017,1996431,100,40,1,735
362,07-04-2017,1996451,100,40,1,735
363,07-04-2017,1996471,101,39,1,870
364,07-04-2017,1996551,3,4,1,13500
365,07-04-2017,1996591,22,12,1,8100
366,07-04-2017,1996621,22,12,1,8100
367,07-04-2017,1996651,101,41,1,705
368,07-04-2017,1996681,101,41,1,855
369,07-04-2017,1996701,101,41,1,735
370,07-04-2017,1996721,114,161,1,20025
371,07-04-2017,1996821,15,15,1,19125
372,07-04-2017,1996891,1,0,1,2985
373,07-04-2017,1996901,2,0,1,1350
374,07-04-2017,1996921,5,8,1,14625
375,07-04-2017,1997021,8,48,1,1170
376,07-04-2017,1997031,88,145,1,14625
377,07-04-2017,1997041,88,145,1,12938
378,07-04-2017,1997071,12,31,1,14175
379,07-04-2017,1997091,1,0,1,12825
380,07-04-2017,1997101,88,145,1,9563
381,07-04-2017,1997111,88,145,1,20813
382,07-04-2017,1997121,88,145,1,6750
383,07-04-2017,1997131,88,145,1,28125
384,07-04-2017,1997141,88,145,1,13275
385,07-04-2017,1997171,88,145,1,12375
386,07-04-2017,1997181,107,138,1,4275
387,07-04-2017,1997201,88,145,1,6525
388,07-04-2017,1997221,88,145,1,11475
389,07-04-2017,1997231,107,138,1,6188
390,07-04-2017,1997241,88,145,1,13725
391,07-04-2017,1997261,88,145,1,7650
392,07-04-2017,1997451,309,83,1,8370
393,07-04-2017,1997641,1,0,1,1110
394,07-04-2017,1997661,28,44,1,5850
395,07-04-2017,1997691,30,76,1,1080
396,07-04-2017,1997711,50,74,1,5738
397,08-04-2017,1998001,1,0,1,73125
398,08-04-2017,1998041,1,0,1,13275
399,08-04-2017,1998081,90,146,1,10688
400,08-04-2017,1998121,1,0,1,10980
401,08-04-2017,1998151,20,122,1,76500
402,08-04-2017,1998201,10,5,1,1800
403,08-04-2017,1998261,25,13,1,4500
404,08-04-2017,1998321,91,146,1,8100
405,08-04-2017,1998341,1,0,1,1200
406,08-04-2017,1998351,91,146,1,16875
407,08-04-2017,1998371,107,40,1,960
408,08-04-2017,1998451,107,40,1,870
409,08-04-2017,1998781,2,0,1,1140
410,08-04-2017,1998811,43,14,1,5063
411,08-04-2017,1998891,39,10,1,6043
412,08-04-2017,1998901,14,10,1,9563
413,08-04-2017,1998911,312,84,1,6525
414,08-04-2017,1998941,3,0,1,14063
415,08-04-2017,1998961,312,84,1,5850
416,08-04-2017,1998971,1,0,1,11813
417,08-04-2017,1999001,3,0,1,690
418,08-04-2017,1999051,3,3,1,960
419,08-04-2017,1999051,4,3,1,960
420,08-04-2017,1999061,2,0,1,1020
421,08-04-2017,1999081,33,123,1,660
422,08-04-2017,1999101,27,77,1,15300
423,08-04-2017,1999121,1,0,1,13500
424,08-04-2017,1999161,3,5,1,21375
425,08-04-2017,1999221,2,0,1,1140
426,08-04-2017,1999231,32,40,1,67500
427,08-04-2017,1999241,45,14,1,5625
428,08-04-2017,1999251,110,41,1,465
429,08-04-2017,1999271,110,41,1,1275
430,08-04-2017,1999331,105,81,1,7875
431,08-04-2017,1999371,108,42,1,945
432,08-04-2017,1999441,28,16,1,6188
433,08-04-2017,1999501,85,88,1,660
434,08-04-2017,1999531,21,18,1,15638
435,08-04-2017,1999551,110,41,1,1275
436,08-04-2017,1999581,10,2,1,16875
437,08-04-2017,1999591,21,18,1,10913
438,08-04-2017,1999631,35,150,1,10125
439,08-04-2017,1999711,3,0,1,840
