"","transactionId","city","users","sessions","pageviews"
"573","1998371","Pune",1,0,0
"574","1998451","Pune",1,0,0
"575","1998781","Pune",1,0,0
"576","1998811","Jaipur",1,0,0
"577","1998891","New Delhi",1,0,0
"578","1998901","(not set)",1,0,0
"579","1998911","New Delhi",1,0,0
"580","1998941","New Delhi",1,0,0
"581","1998961","New Delhi",1,0,0
"582","1998971","New Delhi",1,0,0
"583","1999001","New Delhi",1,0,0
"584","1999051","(not set)",1,0,0
"585","1999061","(not set)",1,0,0
"586","1999081","New Delhi",1,0,0
"587","1999101","Mumbai",1,0,0
"588","1999121","Mumbai",1,0,0
"589","1999161","New Delhi",1,0,0
"590","1999221","Pimpri-Chinchwad",1,0,0
"591","1999231","(not set)",1,0,0
"592","1999241","Jaipur",1,0,0
"593","1999251","Pune",1,0,0
"594","1999271","Pune",1,0,0
"595","1999331","Pune",1,0,0
"596","1999371","Ahmedabad",1,0,0
"597","1999441","New Delhi",1,0,0
"598","1999501","New Delhi",1,0,0
"599","1999531","Mumbai",1,0,0
"600","1999551","Pune",1,0,0
"601","1999581","(not set)",1,0,0
"602","1999591","Mumbai",1,0,0
"603","1999631","Noida",1,0,0
"604","1999711","Pune",1,0,0
"605","1999771","Ahmedabad",1,0,0
"606","1999781","Ahmedabad",1,0,0
"607","1999841","Noida",1,0,0
"608","1999881","Gurgaon",1,0,0
"609","1999901","Gurgaon",1,0,0
"610","1999911","Gurgaon",1,0,0
"611","1999931","Gurgaon",1,0,0
"612","1999941","Pune",1,0,0
"613","1999951","Pune",1,0,0
"614","2000021","Chandigarh",1,0,0
"615","2000301","(not set)",1,0,0
"616","2000331","New Delhi",1,0,0
"617","2000351","New Delhi",1,0,0
"618","2000391","Mumbai",1,0,0
"619","2000451","New Delhi",1,0,0
"620","2000461","New Delhi",1,0,0
"621","2000491","New Delhi",1,0,0
"622","2000501","New Delhi",1,0,0
"623","2000521","New Delhi",1,0,0
"624","2000561","New Delhi",1,0,0
"625","2000591","New Delhi",1,0,0
"626","2000621","(not set)",1,0,0
"627","2000721","(not set)",1,0,0
"628","2000731","New Delhi",1,0,0
"629","2000751","Mumbai",1,0,0
"630","2000761","New Delhi",1,0,0
"631","2000781","New Delhi",1,0,0
"632","2000791","Mumbai",1,0,0
"633","2000801","New Delhi",1,0,0
"634","2000811","Mumbai",1,0,0
"635","2000931","Mumbai",1,0,0
"636","2001141","New Delhi",1,0,0
"637","2001181","(not set)",1,0,0
"638","2001331","Pune",1,0,0
"639","2001371","Pune",1,0,0
"640","2001401","Pune",1,0,0
"641","2001411","Pune",1,0,0
"642","2001441","Pune",1,0,0
"643","2001451","Pune",1,0,0
"644","2001461","Pune",1,0,0
"645","2001471","Pune",1,0,0
"646","2001481","Pune",1,0,0
"647","2001491","Pune",1,0,0
"648","2001521","(not set)",1,0,0
"649","2001531","Pune",1,0,0
"650","2001541","Pune",1,0,0
"651","2001591","Ludhiana",1,0,0
"652","2001601","Ludhiana",1,0,0
"653","2001641","(not set)",1,0,0
"654","2001681","New Delhi",1,0,0
"655","2001731","New Delhi",1,0,0
"656","2001741","New Delhi",1,0,0
"657","2001781","Mumbai",1,0,0
"658","2001801","New Delhi",1,0,0
"659","2001811","(not set)",1,0,0
"660","2001851","New Delhi",1,0,0
"661","2001961","Ahmedabad",1,0,0
"662","2001981","Ahmedabad",1,0,0
"663","2002001","Ahmedabad",1,0,0
"664","2002021","Ahmedabad",1,0,0
"665","2002061","Ahmedabad",1,0,0
"666","2002071","New Delhi",1,0,0
"667","2002081","Mumbai",1,0,0
"668","2002241","Pune",1,0,0
"669","2002311","(not set)",1,0,0
"670","2002331","(not set)",1,0,0
"671","2002371","(not set)",1,0,0
"672","2002391","(not set)",1,0,0
"673","2002451","(not set)",1,0,0
"674","2002611","Pune",1,0,0
"675","2002621","Pune",1,0,0
"676","2002641","Ahmedabad",1,0,0
"677","2002711","Pimpri-Chinchwad",1,0,0
"678","2002721","New Delhi",1,0,0
"679","2002741","Gurgaon",1,0,0
"680","2002871","New Delhi",1,0,0
"681","2002931","(not set)",1,0,0
"682","2002961","Jaipur",1,0,0
"683","2003161","Hyderabad",1,0,0
"684","2003171","Mumbai",1,0,0
"685","2003181","Mumbai",1,0,0
"686","2003221","Hyderabad",1,0,0
"687","2003241","(not set)",1,0,0
"688","2003651","Mumbai",1,0,0
"689","2003841","New Delhi",1,0,0
"690","2003971","Bengaluru",1,0,0
"691","2004031","(not set)",1,0,0
"692","2004081","Panipat",1,0,0
"693","2004091","Panipat",1,0,0
"694","2004101","Panipat",1,0,0
"695","2004141","Mumbai",1,0,0
"696","2004191","Mumbai",1,0,0
"697","2004211","Mumbai",1,0,0
"698","2004221","Bengaluru",1,0,0
"699","2004241","New Delhi",1,0,0
"700","2004271","Bengaluru",1,0,0
"701","2004321","(not set)",1,0,0
"702","2004331","Bengaluru",1,0,0
"703","2004371","Ahmedabad",1,0,0
"704","2004381","(not set)",1,0,0
"705","2004391","Ahmedabad",1,0,0
"706","2004401","Ahmedabad",1,0,0
"707","2004461","(not set)",1,0,0
"708","2004711","Bengaluru",1,0,0
"709","2004721","Gurgaon",1,0,0
"710","2004851","Hyderabad",1,0,0
"711","2004901","Gurgaon",1,0,0
"712","2004941","New Delhi",1,0,0
"713","2004991","Chennai",1,0,0
"714","2005031","Bengaluru",1,0,0
"715","2005091","New Delhi",1,0,0
