GA_REVENUE,daysSinceLastSession,browser,mobileDeviceBranding,newOrReturning,hour,dayOfWeekName,orderCouponCode,shoppingStage,transactions,checkoutOptions,buyToDetailRate,transactionsPerSession,transactionShipping,transactionTax,uniquePurchases,cartToDetailRate,quantityAddedToCart,quantityCheckedOut,quantityRemovedFromCart,sessions_to_transaction,days_to_transaction,type
6000,0,Chrome,Samsung,Returning Visitor,18,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,21,35,0
5100,15,Chrome,none,Returning Visitor,19,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,3,17,0
5500,0,Chrome,Samsung,Returning Visitor,19,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,21,35,0
700,0,Firefox,none,New Visitor,19,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
5200,7,Firefox,none,Returning Visitor,19,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,4,8,0
8000,0,Opera,none,Returning Visitor,19,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,7,1,0
1250,0,Chrome,none,New Visitor,19,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
750,0,Firefox,none,Returning Visitor,20,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,142,53,0
875,0,Firefox,none,Returning Visitor,20,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,142,53,0
16500,0,Chrome,Apple,Returning Visitor,20,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,72,46,0
5400,2,Chrome,none,Returning Visitor,22,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,13,18,0
8220,0,Chrome,none,Returning Visitor,23,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,31,40,0
3240,51,Chrome,none,Returning Visitor,12,Sunday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
41500,0,Chrome,none,New Visitor,12,Sunday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
11500,0,Chrome,none,New Visitor,13,Sunday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
7000,0,Chrome,none,New Visitor,13,Sunday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
525,0,Chrome,none,Returning Visitor,14,Sunday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,101,49,0
14200,0,Chrome,Apple,Returning Visitor,14,Sunday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,74,46,0
1100,0,Chrome,none,Returning Visitor,14,Sunday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,101,49,0
588,0,Chrome,none,Returning Visitor,14,Sunday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,101,49,0
